,cycle_id,ekor,total_seed,total_seed_type,sr%
558,26060,33,140.532,0,0.023482196225770642
559,26060,58,140.532,0,0.04127173882105144
560,26060,4,140.532,0,0.0028463268152449264
561,26060,4,140.532,0,0.0028463268152449264
562,26060,8,140.532,0,0.005692653630489853
563,26060,33,140.532,0,0.023482196225770642
564,26060,58,140.532,0,0.04127173882105144
565,23738,17,289.8,1,0.005866114561766736
566,23738,0,289.8,1,0.0
567,23738,30,289.8,1,0.010351966873706004
568,23738,1,289.8,1,0.0003450655624568668
569,28719,2,120.0,0,0.0016666666666666668
570,24773,3,226.284,1,0.0013257676194516625
571,24773,3,226.284,1,0.0013257676194516625
572,24773,0,226.284,1,0.0
573,24773,5,226.284,1,0.0022096126990861042
574,24773,5,226.284,1,0.0022096126990861042
575,24773,1,226.284,1,0.00044192253981722085
576,17218,1,50.0,gross,0.002
577,16136,0,20.0,gross,0.0
578,15750,2,130.0,gross,0.0015384615384615385
579,18833,1,270.0,0,0.00037037037037037035
580,18833,0,270.0,0,0.0
581,18833,1,270.0,0,0.00037037037037037035
582,18743,10,492.936,1,0.002028660921498937
583,27905,0,20.0,0,0.0
584,17126,2,180.0,0,0.0011111111111111111
585,17126,2,180.0,0,0.0011111111111111111
586,16801,9,100.0,0,0.009000000000000001
587,25999,1,45.0,1,0.0022222222222222222
588,25999,0,45.0,1,0.0
589,25999,8,45.0,1,0.017777777777777778
590,25999,0,45.0,1,0.0
591,25999,0,45.0,1,0.0
592,28929,1,60.0,0,0.0016666666666666668
593,27797,2,140.0,0,0.0014285714285714286
594,27797,3,140.0,0,0.002142857142857143
595,27797,5,140.0,0,0.0035714285714285718
596,27797,5,140.0,0,0.0035714285714285718
597,27797,42,140.0,0,0.03
598,20988,11,115.662,0,0.009510470163061334
599,25150,16,551.005,1,0.0029037849021333745
600,25150,34,551.005,1,0.006170542917033421
601,25150,24,551.005,1,0.004355677353200062
602,25150,117,551.005,1,0.021233927096850302
603,25150,0,551.005,1,0.0
604,25150,0,551.005,1,0.0
605,15804,1,100.0,1,0.001
606,15804,0,100.0,1,0.0
607,15804,0,100.0,1,0.0
608,27553,0,100.0,0,0.0
609,16415,1,90.0,gross,0.0011111111111111111
610,16811,4,200.0,0,0.002
611,24846,2,175.0,0,0.001142857142857143
612,14577,4,450.0,1,0.0008888888888888888
613,14577,3,450.0,1,0.0006666666666666666
614,16092,0,60.0,1,0.0
615,16092,0,60.0,1,0.0
616,16092,0,60.0,1,0.0
617,16092,0,60.0,1,0.0
618,16092,0,60.0,1,0.0
619,16092,0,60.0,1,0.0
620,16092,0,60.0,1,0.0
621,16092,0,60.0,1,0.0
622,18127,2,116.312,1,0.001719513033908797
623,18127,0,116.312,1,0.0
