,cycle_id,sampled_at,weight,sum_sample_g,sum_sample_kg,abw,abw_round
4108,25360.0,2023-11-11,553.04,3.616374945754376,3.6163749457543763e-06,1.95,2.0
4109,25360.0,2023-11-16,553.04,5.424562418631564,5.424562418631564e-06,3.2,3.0
4110,25360.0,2023-12-01,553.04,7.232749891508752,7.232749891508753e-06,4.18,4.0
4111,25360.0,2023-12-04,553.04,9.04093736438594,9.04093736438594e-06,4.87,5.0
4112,25360.0,2023-12-07,553.04,9.04093736438594,9.04093736438594e-06,5.33,5.0
4113,25360.0,2023-12-14,553.04,10.849124837263128,1.0849124837263128e-05,6.5,6.0
4114,25360.0,2023-12-21,553.04,12.657312310140316,1.2657312310140317e-05,7.45,7.0
4115,25360.0,2024-01-16,553.04,23.506437147403446,2.3506437147403442e-05,13.0,13.0
4116,25360.0,2023-11-11,17.22,116.14401858304298,0.00011614401858304299,1.95,2.0
4117,25360.0,2023-11-16,17.22,174.21602787456447,0.0001742160278745645,3.2,3.0
4118,25360.0,2023-12-01,17.22,232.28803716608596,0.00023228803716608597,4.18,4.0
4119,25360.0,2023-12-04,17.22,290.36004645760744,0.00029036004645760743,4.87,5.0
4120,25360.0,2023-12-07,17.22,290.36004645760744,0.00029036004645760743,5.33,5.0
4121,25360.0,2023-12-14,17.22,348.43205574912895,0.000348432055749129,6.5,6.0
4122,25360.0,2023-12-21,17.22,406.50406504065046,0.00040650406504065046,7.45,7.0
4123,25360.0,2024-01-16,17.22,754.9361207897794,0.0007549361207897793,13.0,13.0
4124,25360.0,2023-11-11,350.92,5.6993046848284505,5.699304684828451e-06,1.95,2.0
4125,25360.0,2023-11-16,350.92,8.548957027242675,8.548957027242677e-06,3.2,3.0
4126,25360.0,2023-12-01,350.92,11.398609369656901,1.1398609369656902e-05,4.18,4.0
4127,25360.0,2023-12-04,350.92,14.248261712071127,1.4248261712071128e-05,4.87,5.0
4128,25360.0,2023-12-07,350.92,14.248261712071127,1.4248261712071128e-05,5.33,5.0
4129,25360.0,2023-12-14,350.92,17.09791405448535,1.7097914054485353e-05,6.5,6.0
4130,25360.0,2023-12-21,350.92,19.947566396899575,1.9947566396899577e-05,7.45,7.0
4131,25360.0,2024-01-16,350.92,37.045480451384925,3.704548045138493e-05,13.0,13.0
4132,25360.0,2023-11-11,50.96,39.24646781789639,3.924646781789639e-05,1.95,2.0
4133,25360.0,2023-11-16,50.96,58.86970172684458,5.886970172684458e-05,3.2,3.0
